Employee name,Email address,Phone number
Asah ngum,ngum@handsinhands.org,667-221-713
Ngala Eric,eric@handsinhands.org,696-554-999
Joel Mickelson,mickelson@handsinhands.org,694-327-525
Albert Zang,albert@handsinhands.org,698-753-006
Brice August,august@handsinhands.org,695-321-030
Don William ,don@handsinhands.org,684-164-803
Jason Elvis,elvis@handsinhands.org,697-741-202
Glen Dominique,dominique@handsinhands.org,699-729-888
Mbuh Faith,faith@handsinhands.org,651-761-041
Brice Ernest,ernest@handsinhands.org,675-550-283
Steve Ondoua,ondoua@handsinhands.org,696-001-403
John kamta,kamta@handsinhands.org,668-350-925
Enonguene Junior,junior@handsinhands.org,655-000-974
Laura  Quintabel,quintabel@handsinhands.org,697-309-123
Josue Selman,josue@handsinhands.org,696-127-662
Diane Kufe,diane@handsinhands.org,654-556-111
Frank Justin,justin@handsinhands.org,661-777-205
Kengfack Meva,maeva@handsinhands.org,652-444-240
Paul Jores,jores@handsinhands.org,690-241-888
Robert Junior,robert@handsinhands.org,688-802-222
Mathew Zang,mathew@handsinhands.org,677-333-444
Schellock Vollman,vollman@handsinhands.org,697-555-113
Adam Schmidt,schmidt@handsinhands.org,653-040-999
Soh Jores,jores@handsinhands.org,659-432-668
Quincy Britney,britny@handsinhands.org,699-452-255
Kruchun William,william@handsinhands.org,677-992-232
Max Tin,tin@handsinhands.org,681-231-431
Eyala Marie,marie@handsinhands.org,695-321-213
Ezra Patrick,patrick@handsinhands.org,6522-291-311
Atangana Joseph,joseph@handsinhands.org,678-975-293
